순위,지역,년도,성별,이름,비율,건수
1,서울특별시,2014,남성,지원,지원(9.53%),350
2,서울특별시,2014,남성,서연,서연(7.87%),289
3,서울특별시,2014,남성,서윤,서윤(6.02%),221
4,서울특별시,2014,남성,수연,수연(5.94%),218
5,서울특별시,2014,남성,수현,수현(5.91%),217
6,서울특별시,2014,남성,서영,서영(5.77%),212
7,서울특별시,2014,남성,서현,서현(5.42%),199
8,서울특별시,2014,남성,유진,유진(5.34%),196
9,서울특별시,2014,남성,지윤,지윤(4.85%),178
10,서울특별시,2014,남성,지우,지우(4.68%),172
11,서울특별시,2014,남성,정원,정원(4.22%),155
12,서울특별시,2014,남성,민서,민서(4.17%),153
13,서울특별시,2014,남성,지현,지현(4.14%),152
14,서울특별시,2014,남성,채원,채원(3.98%),146
15,서울특별시,2014,남성,민정,민정(3.95%),145
16,서울특별시,2014,남성,지연,지연(3.84%),141
17,서울특별시,2014,남성,민주,민주(3.68%),135
18,서울특별시,2014,남성,유정,유정(3.65%),134
19,서울특별시,2014,남성,윤서,윤서(3.59%),132
20,서울특별시,2014,남성,도연,도연(3.46%),127
21,서울특별시,2014,남성,기타,기타(87.16%),"24,937"
1,부산광역시,2014,남성,지원,지원(9.74%),140
2,부산광역시,2014,남성,서연,서연(7.51%),108
3,부산광역시,2014,남성,서현,서현(6.05%),87
4,부산광역시,2014,남성,서윤,서윤(5.98%),86
5,부산광역시,2014,남성,채원,채원(5.63%),81
6,부산광역시,2014,남성,지윤,지윤(5.42%),78
7,부산광역시,2014,남성,서영,서영(5.29%),76
7,부산광역시,2014,남성,수현,수현(5.29%),76
9,부산광역시,2014,남성,민서,민서(4.94%),71
10,부산광역시,2014,남성,수연,수연(4.66%),67
11,부산광역시,2014,남성,민정,민정(4.59%),66
12,부산광역시,2014,남성,도연,도연(4.52%),65
13,부산광역시,2014,남성,지민,지민(4.31%),62
14,부산광역시,2014,남성,지현,지현(4.10%),59
15,부산광역시,2014,남성,지유,지유(3.89%),56
16,부산광역시,2014,남성,민주,민주(3.76%),54
17,부산광역시,2014,남성,연우,연우(3.62%),52
17,부산광역시,2014,남성,유진,유진(3.62%),52
17,부산광역시,2014,남성,정원,정원(3.62%),52
20,부산광역시,2014,남성,수민,수민(3.48%),50
21,부산광역시,2014,남성,기타,기타(87.94%),"10,490"
1,대구광역시,2014,남성,서연,서연(7.37%),66
2,대구광역시,2014,남성,지원,지원(6.70%),60
3,대구광역시,2014,남성,서현,서현(6.25%),56
3,대구광역시,2014,남성,수현,수현(6.25%),56
5,대구광역시,2014,남성,수연,수연(5.80%),52
6,대구광역시,2014,남성,서영,서영(5.47%),49
6,대구광역시,2014,남성,지윤,지윤(5.47%),49
8,대구광역시,2014,남성,규리,규리(5.25%),47
9,대구광역시,2014,남성,채원,채원(4.91%),44
10,대구광역시,2014,남성,민서,민서(4.80%),43
11,대구광역시,2014,남성,민주,민주(4.58%),41
11,대구광역시,2014,남성,서윤,서윤(4.58%),41
13,대구광역시,2014,남성,민정,민정(4.46%),40
14,대구광역시,2014,남성,보경,보경(4.35%),39
15,대구광역시,2014,남성,나경,나경(4.02%),36
15,대구광역시,2014,남성,도연,도연(4.02%),36
15,대구광역시,2014,남성,민경,민경(4.02%),36
18,대구광역시,2014,남성,민재,민재(3.91%),35
18,대구광역시,2014,남성,주연,주연(3.91%),35
18,대구광역시,2014,남성,주원,주원(3.91%),35
19,대구광역시,2014,남성,기타,기타(88.10%),"6,635"
1,인천광역시,2014,남성,서연,서연(7.29%),65
2,인천광역시,2014,남성,지원,지원(6.73%),60
3,인천광역시,2014,남성,서현,서현(6.39%),57
3,인천광역시,2014,남성,수연,수연(6.39%),57
5,인천광역시,2014,남성,유진,유진(5.94%),53
6,인천광역시,2014,남성,수현,수현(5.72%),51
7,인천광역시,2014,남성,민서,민서(5.49%),49
7,인천광역시,2014,남성,민정,민정(5.49%),49
9,인천광역시,2014,남성,지윤,지윤(4.93%),44
10,인천광역시,2014,남성,주연,주연(4.71%),42
11,인천광역시,2014,남성,서영,서영(4.48%),40
11,인천광역시,2014,남성,유정,유정(4.48%),40
13,인천광역시,2014,남성,나경,나경(4.15%),37
13,인천광역시,2014,남성,지현,지현(4.15%),37
15,인천광역시,2014,남성,서윤,서윤(4.04%),36
15,인천광역시,2014,남성,정원,정원(4.04%),36
15,인천광역시,2014,남성,지우,지우(4.04%),36
18,인천광역시,2014,남성,윤서,윤서(3.92%),35
19,인천광역시,2014,남성,민주,민주(3.81%),34
19,인천광역시,2014,남성,채원,채원(3.81%),34
20,인천광역시,2014,남성,기타,기타(87.29%),"6,127"
1,광주광역시,2014,남성,서연,서연(8.20%),46
2,광주광역시,2014,남성,서윤,서윤(7.31%),41
3,광주광역시,2014,남성,민정,민정(5.53%),31
3,광주광역시,2014,남성,수현,수현(5.53%),31
5,광주광역시,2014,남성,민경,민경(5.35%),30
5,광주광역시,2014,남성,서영,서영(5.35%),30
5,광주광역시,2014,남성,채원,채원(5.35%),30
8,광주광역시,2014,남성,지윤,지윤(4.99%),28
9,광주광역시,2014,남성,민서,민서(4.81%),27
9,광주광역시,2014,남성,서현,서현(4.81%),27
9,광주광역시,2014,남성,수연,수연(4.81%),27
9,광주광역시,2014,남성,정원,정원(4.81%),27
13,광주광역시,2014,남성,연우,연우(4.63%),26
13,광주광역시,2014,남성,지우,지우(4.63%),26
15,광주광역시,2014,남성,지원,지원(4.46%),25
16,광주광역시,2014,남성,하윤,하윤(4.28%),24
17,광주광역시,2014,남성,도윤,도윤(3.92%),22
18,광주광역시,2014,남성,서준,서준(3.74%),21
18,광주광역시,2014,남성,유진,유진(3.74%),21
18,광주광역시,2014,남성,윤서,윤서(3.74%),21
19,광주광역시,2014,남성,기타,기타(88.46%),"4,302"
1,대전광역시,2014,남성,서연,서연(8.15%),49
2,대전광역시,2014,남성,서윤,서윤(7.32%),44
3,대전광역시,2014,남성,수연,수연(6.99%),42
4,대전광역시,2014,남성,채원,채원(6.16%),37
5,대전광역시,2014,남성,지원,지원(5.66%),34
6,대전광역시,2014,남성,민주,민주(5.16%),31
6,대전광역시,2014,남성,서현,서현(5.16%),31
8,대전광역시,2014,남성,유진,유진(4.99%),30
9,대전광역시,2014,남성,지연,지연(4.83%),29
10,대전광역시,2014,남성,민서,민서(4.66%),28
11,대전광역시,2014,남성,도연,도연(4.49%),27
11,대전광역시,2014,남성,유정,유정(4.49%),27
11,대전광역시,2014,남성,지윤,지윤(4.49%),27
14,대전광역시,2014,남성,민정,민정(4.33%),26
14,대전광역시,2014,남성,민준,민준(4.33%),26
14,대전광역시,2014,남성,서영,서영(4.33%),26
17,대전광역시,2014,남성,지민,지민(3.83%),23
18,대전광역시,2014,남성,수민,수민(3.66%),22
19,대전광역시,2014,남성,수현,수현(3.49%),21
19,대전광역시,2014,남성,주영,주영(3.49%),21
20,대전광역시,2014,남성,기타,기타(87.39%),"4,165"
1,울산광역시,2014,남성,지원,지원(7.26%),39
2,울산광역시,2014,남성,민주,민주(6.15%),33
2,울산광역시,2014,남성,수현,수현(6.15%),33
4,울산광역시,2014,남성,서연,서연(5.77%),31
5,울산광역시,2014,남성,지윤,지윤(5.59%),30
6,울산광역시,2014,남성,도연,도연(5.40%),29
7,울산광역시,2014,남성,나경,나경(5.21%),28
7,울산광역시,2014,남성,민서,민서(5.21%),28
7,울산광역시,2014,남성,서영,서영(5.21%),28
10,울산광역시,2014,남성,서현,서현(5.03%),27
11,울산광역시,2014,남성,민준,민준(4.84%),26
11,울산광역시,2014,남성,지현,지현(4.84%),26
13,울산광역시,2014,남성,서윤,서윤(4.47%),24
13,울산광역시,2014,남성,지민,지민(4.47%),24
15,울산광역시,2014,남성,규리,규리(4.28%),23
15,울산광역시,2014,남성,보경,보경(4.28%),23
15,울산광역시,2014,남성,수민,수민(4.28%),23
18,울산광역시,2014,남성,지우,지우(3.91%),21
18,울산광역시,2014,남성,채원,채원(3.91%),21
20,울산광역시,2014,남성,건우,건우(3.72%),20
21,울산광역시,2014,남성,기타,기타(87.64%),"3,806"
1,세종특별자치시,2014,남성,민서,민서(7.02%),4
1,세종특별자치시,2014,남성,민정,민정(7.02%),4
1,세종특별자치시,2014,남성,민주,민주(7.02%),4
1,세종특별자치시,2014,남성,서현,서현(7.02%),4
1,세종특별자치시,2014,남성,수현,수현(7.02%),4
6,세종특별자치시,2014,남성,경아,경아(5.26%),3
6,세종특별자치시,2014,남성,세영,세영(5.26%),3
6,세종특별자치시,2014,남성,은성,은성(5.26%),3
6,세종특별자치시,2014,남성,지연,지연(5.26%),3
6,세종특별자치시,2014,남성,지원,지원(5.26%),3
6,세종특별자치시,2014,남성,지윤,지윤(5.26%),3
6,세종특별자치시,2014,남성,채원,채원(5.26%),3
13,세종특별자치시,2014,남성,기범,기범(3.51%),2
13,세종특별자치시,2014,남성,도희,도희(3.51%),2
13,세종특별자치시,2014,남성,미선,미선(3.51%),2
13,세종특별자치시,2014,남성,서아,서아(3.51%),2
13,세종특별자치시,2014,남성,정민,정민(3.51%),2
13,세종특별자치시,2014,남성,지민,지민(3.51%),2
13,세종특별자치시,2014,남성,태희,태희(3.51%),2
13,세종특별자치시,2014,남성,현수,현수(3.51%),2
