,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2009,남성,서연,서연(7.38%),813
1,2,서울특별시,2009,남성,지우,지우(7.15%),788
2,3,서울특별시,2009,남성,민서,민서(6.84%),753
3,4,서울특별시,2009,남성,지민,지민(6.10%),672
4,5,서울특별시,2009,남성,지후,지후(5.97%),658
5,6,서울특별시,2009,남성,민준,민준(5.82%),641
6,7,서울특별시,2009,남성,서윤,서윤(5.61%),618
7,8,서울특별시,2009,남성,서현,서현(5.49%),605
8,9,서울특별시,2009,남성,윤서,윤서(4.83%),532
9,10,서울특별시,2009,남성,지원,지원(4.78%),527
10,11,서울특별시,2009,남성,하은,하은(4.30%),474
11,12,서울특별시,2009,남성,서진,서진(4.25%),468
12,13,서울특별시,2009,남성,예준,예준(4.03%),444
13,14,서울특별시,2009,남성,시우,시우(4.00%),441
14,15,서울특별시,2009,남성,준서,준서(3.98%),438
15,16,서울특별시,2009,남성,지호,지호(3.92%),432
16,17,서울특별시,2009,남성,예원,예원(3.90%),430
17,18,서울특별시,2009,남성,수빈,수빈(3.89%),428
18,19,서울특별시,2009,남성,연우,연우(3.88%),427
19,20,서울특별시,2009,남성,수민,수민(3.87%),426
20,21,서울특별시,2009,남성,기타,기타(88.06%),"81,261"
21,1,부산광역시,2009,남성,민서,민서(7.37%),237
22,2,부산광역시,2009,남성,지민,지민(6.63%),213
23,3,부산광역시,2009,남성,민준,민준(6.44%),207
24,4,부산광역시,2009,남성,지원,지원(6.13%),197
25,5,부산광역시,2009,남성,지우,지우(5.76%),185
26,6,부산광역시,2009,남성,서현,서현(5.38%),173
27,7,부산광역시,2009,남성,지후,지후(5.29%),170
28,8,부산광역시,2009,남성,수빈,수빈(5.07%),163
29,9,부산광역시,2009,남성,서윤,서윤(4.70%),151
30,9,부산광역시,2009,남성,지윤,지윤(4.70%),151
31,11,부산광역시,2009,남성,지훈,지훈(4.54%),146
32,12,부산광역시,2009,남성,서연,서연(4.48%),144
33,12,부산광역시,2009,남성,수민,수민(4.48%),144
34,14,부산광역시,2009,남성,윤서,윤서(4.32%),139
35,15,부산광역시,2009,남성,채원,채원(4.20%),135
36,16,부산광역시,2009,남성,예원,예원(4.14%),133
37,17,부산광역시,2009,남성,민성,민성(4.11%),132
38,17,부산광역시,2009,남성,민지,민지(4.11%),132
39,19,부산광역시,2009,남성,민재,민재(4.08%),131
40,19,부산광역시,2009,남성,현우,현우(4.08%),131
41,20,부산광역시,2009,남성,기타,기타(87.83%),"23,197"
42,1,대구광역시,2009,남성,민서,민서(7.95%),200
43,2,대구광역시,2009,남성,민준,민준(6.84%),172
44,3,대구광역시,2009,남성,수빈,수빈(5.92%),149
45,3,대구광역시,2009,남성,지민,지민(5.92%),149
46,5,대구광역시,2009,남성,지윤,지윤(5.77%),145
47,6,대구광역시,2009,남성,수민,수민(5.45%),137
48,7,대구광역시,2009,남성,서윤,서윤(5.37%),135
49,8,대구광역시,2009,남성,서현,서현(5.13%),129
50,9,대구광역시,2009,남성,지우,지우(5.05%),127
51,10,대구광역시,2009,남성,서연,서연(5.01%),126
