,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2016,남성,하준,하준(7.42%),593
1,2,서울특별시,2016,남성,도윤,도윤(7.08%),566
2,3,서울특별시,2016,남성,주원,주원(6.46%),516
3,4,서울특별시,2016,남성,서준,서준(6.40%),511
4,5,서울특별시,2016,남성,민준,민준(6.13%),490
5,6,서울특별시,2016,남성,예준,예준(5.95%),475
6,7,서울특별시,2016,남성,지호,지호(5.90%),471
7,8,서울특별시,2016,남성,시우,시우(5.46%),436
8,9,서울특별시,2016,남성,준우,준우(5.34%),427
9,10,서울특별시,2016,남성,서진,서진(4.84%),387
10,11,서울특별시,2016,남성,지후,지후(4.68%),374
11,12,서울특별시,2016,남성,유준,유준(4.56%),364
12,13,서울특별시,2016,남성,우진,우진(3.97%),317
13,14,서울특별시,2016,남성,이안,이안(3.96%),316
14,15,서울특별시,2016,남성,현우,현우(3.81%),304
15,16,서울특별시,2016,남성,선우,선우(3.74%),299
16,17,서울특별시,2016,남성,준서,준서(3.67%),293
17,18,서울특별시,2016,남성,도현,도현(3.60%),288
18,19,서울특별시,2016,남성,시윤,시윤(3.55%),284
19,20,서울특별시,2016,남성,지훈,지훈(3.48%),278
20,21,서울특별시,2016,남성,기타,기타(81.98%),"36,354"
21,1,부산광역시,2016,남성,민준,민준(7.62%),207
22,2,부산광역시,2016,남성,도윤,도윤(7.33%),199
23,3,부산광역시,2016,남성,예준,예준(7.25%),197
24,4,부산광역시,2016,남성,하준,하준(6.77%),184
25,5,부산광역시,2016,남성,주원,주원(6.70%),182
26,6,부산광역시,2016,남성,서준,서준(6.44%),175
27,7,부산광역시,2016,남성,유준,유준(5.27%),143
28,8,부산광역시,2016,남성,시우,시우(5.04%),137
29,9,부산광역시,2016,남성,지후,지후(4.60%),125
30,10,부산광역시,2016,남성,지호,지호(4.57%),124
31,11,부산광역시,2016,남성,시윤,시윤(4.49%),122
32,12,부산광역시,2016,남성,준우,준우(4.31%),117
33,13,부산광역시,2016,남성,준서,준서(4.09%),111
34,14,부산광역시,2016,남성,연우,연우(3.98%),108
