,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2014,남성,서준,서준(9.90%),861
1,2,서울특별시,2014,남성,민준,민준(8.51%),740
2,3,서울특별시,2014,남성,하준,하준(6.74%),586
3,4,서울특별시,2014,남성,주원,주원(6.46%),562
4,5,서울특별시,2014,남성,예준,예준(5.93%),516
5,6,서울특별시,2014,남성,도윤,도윤(5.92%),515
6,7,서울특별시,2014,남성,준우,준우(5.54%),482
7,8,서울특별시,2014,남성,지후,지후(5.20%),452
8,9,서울특별시,2014,남성,지호,지호(4.79%),417
9,10,서울특별시,2014,남성,서진,서진(4.62%),402
10,11,서울특별시,2014,남성,준서,준서(4.47%),389
11,12,서울특별시,2014,남성,시우,시우(4.20%),365
12,13,서울특별시,2014,남성,현우,현우(3.92%),341
13,14,서울특별시,2014,남성,선우,선우(3.78%),329
14,15,서울특별시,2014,남성,지훈,지훈(3.68%),320
15,16,서울특별시,2014,남성,정우,정우(3.67%),319
16,17,서울특별시,2014,남성,도현,도현(3.31%),288
17,18,서울특별시,2014,남성,현준,현준(3.18%),277
18,19,서울특별시,2014,남성,유준,유준(3.10%),270
19,20,서울특별시,2014,남성,우진,우진(3.07%),267
20,21,서울특별시,2014,남성,기타,기타(80.44%),"35,781"
21,1,부산광역시,2014,남성,민준,민준(10.13%),312
22,2,부산광역시,2014,남성,서준,서준(9.22%),284
23,3,부산광역시,2014,남성,지후,지후(6.66%),205
24,4,부산광역시,2014,남성,예준,예준(6.43%),198
25,5,부산광역시,2014,남성,도윤,도윤(6.17%),190
26,6,부산광역시,2014,남성,주원,주원(5.84%),180
27,7,부산광역시,2014,남성,준우,준우(5.78%),178
28,8,부산광역시,2014,남성,하준,하준(4.90%),151
29,9,부산광역시,2014,남성,준서,준서(4.45%),137
30,9,부산광역시,2014,남성,지호,지호(4.45%),137
31,11,부산광역시,2014,남성,지훈,지훈(4.06%),125
32,12,부산광역시,2014,남성,시우,시우(3.90%),120
33,13,부산광역시,2014,남성,수현,수현(3.77%),116
34,14,부산광역시,2014,남성,도현,도현(3.67%),113
35,14,부산광역시,2014,남성,유준,유준(3.67%),113
36,16,부산광역시,2014,남성,현우,현우(3.60%),111
37,17,부산광역시,2014,남성,서진,서진(3.57%),110
38,18,부산광역시,2014,남성,우진,우진(3.51%),108
39,19,부산광역시,2014,남성,민재,민재(3.18%),98
40,20,부산광역시,2014,남성,윤우,윤우(3.05%),94
41,21,부산광역시,2014,남성,기타,기타(78.17%),"11,026"
42,1,대구광역시,2014,남성,민준,민준(9.49%),191
43,2,대구광역시,2014,남성,서준,서준(8.60%),173
44,3,대구광역시,2014,남성,주원,주원(6.36%),128
45,4,대구광역시,2014,남성,예준,예준(6.06%),122
46,5,대구광역시,2014,남성,도윤,도윤(5.57%),112
47,6,대구광역시,2014,남성,지훈,지훈(5.47%),110
48,7,대구광역시,2014,남성,준우,준우(5.42%),109
49,8,대구광역시,2014,남성,도현,도현(4.77%),96
50,9,대구광역시,2014,남성,민재,민재(4.72%),95
51,9,대구광역시,2014,남성,하준,하준(4.72%),95
52,11,대구광역시,2014,남성,준서,준서(4.57%),92
53,12,대구광역시,2014,남성,지후,지후(4.47%),90
54,13,대구광역시,2014,남성,현우,현우(4.17%),84
55,14,대구광역시,2014,남성,수현,수현(4.03%),81
56,15,대구광역시,2014,남성,지호,지호(3.98%),80
57,16,대구광역시,2014,남성,승민,승민(3.78%),76
58,17,대구광역시,2014,남성,시우,시우(3.48%),70
