,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2022,남성,이준,이준(8.28%),259
1,2,서울특별시,2022,남성,이안,이안(8.18%),256
2,3,서울특별시,2022,남성,서준,서준(6.75%),211
3,3,서울특별시,2022,남성,지호,지호(6.75%),211
4,5,서울특별시,2022,남성,시우,시우(5.95%),186
5,6,서울특별시,2022,남성,하준,하준(5.79%),181
6,7,서울특별시,2022,남성,도윤,도윤(5.56%),174
7,8,서울특별시,2022,남성,태오,태오(5.27%),165
8,9,서울특별시,2022,남성,선우,선우(5.08%),159
9,10,서울특별시,2022,남성,은우,은우(5.02%),157
10,11,서울특별시,2022,남성,주원,주원(4.03%),126
11,12,서울특별시,2022,남성,우진,우진(3.90%),122
12,13,서울특별시,2022,남성,이든,이든(3.87%),121
13,14,서울특별시,2022,남성,준우,준우(3.84%),120
14,15,서울특별시,2022,남성,수호,수호(3.77%),118
15,15,서울특별시,2022,남성,예준,예준(3.77%),118
16,17,서울특별시,2022,남성,유준,유준(3.74%),117
17,18,서울특별시,2022,남성,이현,이현(3.55%),111
18,19,서울특별시,2022,남성,로운,로운(3.45%),108
19,19,서울특별시,2022,남성,윤우,윤우(3.45%),108
20,20,서울특별시,2022,남성,기타,기타(80.01%),"12,522"
21,1,부산광역시,2022,남성,이준,이준(8.81%),83
22,2,부산광역시,2022,남성,서준,서준(7.86%),74
23,3,부산광역시,2022,남성,시우,시우(6.79%),64
24,4,부산광역시,2022,남성,은우,은우(6.37%),60
25,5,부산광역시,2022,남성,하준,하준(5.94%),56
26,6,부산광역시,2022,남성,지호,지호(5.84%),55
27,7,부산광역시,2022,남성,도윤,도윤(5.31%),50
28,8,부산광역시,2022,남성,도현,도현(4.99%),47
29,8,부산광역시,2022,남성,선우,선우(4.99%),47
30,10,부산광역시,2022,남성,시윤,시윤(4.78%),45
31,11,부산광역시,2022,남성,이안,이안(4.67%),44
32,12,부산광역시,2022,남성,주원,주원(4.46%),42
33,13,부산광역시,2022,남성,예준,예준(4.35%),41
34,14,부산광역시,2022,남성,우진,우진(3.93%),37
35,15,부산광역시,2022,남성,로운,로운(3.72%),35
36,15,부산광역시,2022,남성,유준,유준(3.72%),35
37,17,부산광역시,2022,남성,윤우,윤우(3.50%),33
38,18,부산광역시,2022,남성,연우,연우(3.40%),32
39,19,부산광역시,2022,남성,서우,서우(3.29%),31
40,19,부산광역시,2022,남성,이현,이현(3.29%),31
41,20,부산광역시,2022,남성,기타,기타(75.39%),"2,885"
42,1,대구광역시,2022,남성,이준,이준(8.44%),57
43,2,대구광역시,2022,남성,선우,선우(6.67%),45
44,3,대구광역시,2022,남성,도윤,도윤(6.07%),41
45,3,대구광역시,2022,남성,지호,지호(6.07%),41
46,5,대구광역시,2022,남성,예준,예준(5.48%),37
47,6,대구광역시,2022,남성,서준,서준(5.33%),36
48,6,대구광역시,2022,남성,시우,시우(5.33%),36
49,8,대구광역시,2022,남성,유준,유준(5.19%),35
50,9,대구광역시,2022,남성,시윤,시윤(5.04%),34
51,10,대구광역시,2022,남성,은우,은우(4.89%),33
52,11,대구광역시,2022,남성,수호,수호(4.59%),31
53,11,대구광역시,2022,남성,하준,하준(4.59%),31
54,13,대구광역시,2022,남성,건우,건우(4.44%),30
