순위,지역,년도,성별,이름,비율,건수
1,서울특별시,2021,남성,지원,지원(8.09%),185
2,서울특별시,2021,남성,지안,지안(7.52%),172
3,서울특별시,2021,남성,유진,유진(6.73%),154
4,서울특별시,2021,남성,서연,서연(5.81%),133
5,서울특별시,2021,남성,정원,정원(5.11%),117
6,서울특별시,2021,남성,수연,수연(5.07%),116
6,서울특별시,2021,남성,지우,지우(5.07%),116
8,서울특별시,2021,남성,서윤,서윤(4.98%),114
8,서울특별시,2021,남성,지윤,지윤(4.98%),114
10,서울특별시,2021,남성,서현,서현(4.85%),111
11,서울특별시,2021,남성,수현,수현(4.81%),110
12,서울특별시,2021,남성,서아,서아(4.63%),106
13,서울특별시,2021,남성,민서,민서(4.50%),103
14,서울특별시,2021,남성,지연,지연(4.06%),93
14,서울특별시,2021,남성,지유,지유(4.06%),93
16,서울특별시,2021,남성,선우,선우(4.02%),92
16,서울특별시,2021,남성,주원,주원(4.02%),92
18,서울특별시,2021,남성,지현,지현(3.98%),91
19,서울특별시,2021,남성,시현,시현(3.93%),90
20,서울특별시,2021,남성,도연,도연(3.76%),86
21,서울특별시,2021,남성,기타,기타(89.82%),"20,189"
1,부산광역시,2021,남성,지안,지안(8.28%),79
2,부산광역시,2021,남성,서연,서연(7.02%),67
3,부산광역시,2021,남성,수현,수현(6.50%),62
4,부산광역시,2021,남성,서윤,서윤(6.39%),61
5,부산광역시,2021,남성,서현,서현(6.08%),58
6,부산광역시,2021,남성,수연,수연(5.77%),55
7,부산광역시,2021,남성,지원,지원(5.35%),51
8,부산광역시,2021,남성,지윤,지윤(5.14%),49
9,부산광역시,2021,남성,유진,유진(4.61%),44
10,부산광역시,2021,남성,지유,지유(4.51%),43
10,부산광역시,2021,남성,채원,채원(4.51%),43
12,부산광역시,2021,남성,나윤,나윤(4.19%),40
12,부산광역시,2021,남성,도윤,도윤(4.19%),40
12,부산광역시,2021,남성,서영,서영(4.19%),40
15,부산광역시,2021,남성,민정,민정(4.09%),39
15,부산광역시,2021,남성,지우,지우(4.09%),39
17,부산광역시,2021,남성,도연,도연(3.98%),38
18,부산광역시,2021,남성,정원,정원(3.88%),37
19,부산광역시,2021,남성,지현,지현(3.67%),35
20,부산광역시,2021,남성,서우,서우(3.56%),34
21,부산광역시,2021,남성,기타,기타(89.14%),"7,828"
1,대구광역시,2021,남성,지안,지안(8.11%),46
2,대구광역시,2021,남성,도연,도연(6.53%),37
3,대구광역시,2021,남성,지원,지원(5.82%),33
3,대구광역시,2021,남성,지윤,지윤(5.82%),33
5,대구광역시,2021,남성,서현,서현(5.64%),32
5,대구광역시,2021,남성,수연,수연(5.64%),32
7,대구광역시,2021,남성,규리,규리(5.47%),31
8,대구광역시,2021,남성,수현,수현(5.11%),29
9,대구광역시,2021,남성,서윤,서윤(4.94%),28
10,대구광역시,2021,남성,서연,서연(4.59%),26
10,대구광역시,2021,남성,유진,유진(4.59%),26
12,대구광역시,2021,남성,수아,수아(4.41%),25
12,대구광역시,2021,남성,시현,시현(4.41%),25
12,대구광역시,2021,남성,정원,정원(4.41%),25
15,대구광역시,2021,남성,민정,민정(4.23%),24
15,대구광역시,2021,남성,수민,수민(4.23%),24
15,대구광역시,2021,남성,지현,지현(4.23%),24
18,대구광역시,2021,남성,서영,서영(4.06%),23
19,대구광역시,2021,남성,도윤,도윤(3.88%),22
19,대구광역시,2021,남성,하윤,하윤(3.88%),22
20,대구광역시,2021,남성,기타,기타(89.36%),"4,764"
1,인천광역시,2021,남성,수연,수연(7.87%),47
2,인천광역시,2021,남성,지안,지안(7.20%),43
2,인천광역시,2021,남성,지원,지원(7.20%),43
4,인천광역시,2021,남성,서연,서연(6.37%),38
5,인천광역시,2021,남성,지우,지우(6.20%),37
6,인천광역시,2021,남성,지은,지은(5.53%),33
7,인천광역시,2021,남성,정원,정원(4.86%),29
8,인천광역시,2021,남성,서윤,서윤(4.69%),28
8,인천광역시,2021,남성,서진,서진(4.69%),28
8,인천광역시,2021,남성,수현,수현(4.69%),28
11,인천광역시,2021,남성,지현,지현(4.52%),27
12,인천광역시,2021,남성,도윤,도윤(4.36%),26
12,인천광역시,2021,남성,유진,유진(4.36%),26
12,인천광역시,2021,남성,채원,채원(4.36%),26
15,인천광역시,2021,남성,서현,서현(4.19%),25
16,인천광역시,2021,남성,유나,유나(4.02%),24
16,인천광역시,2021,남성,지영,지영(4.02%),24
18,인천광역시,2021,남성,민정,민정(3.69%),22
18,인천광역시,2021,남성,하윤,하윤(3.69%),22
20,인천광역시,2021,남성,서아,서아(3.52%),21
21,인천광역시,2021,남성,기타,기타(88.70%),"4,686"
1,광주광역시,2021,남성,지안,지안(8.36%),28
2,광주광역시,2021,남성,수진,수진(6.27%),21
2,광주광역시,2021,남성,지원,지원(6.27%),21
4,광주광역시,2021,남성,서영,서영(5.97%),20
5,광주광역시,2021,남성,서윤,서윤(5.37%),18
5,광주광역시,2021,남성,연우,연우(5.37%),18
5,광주광역시,2021,남성,정원,정원(5.37%),18
8,광주광역시,2021,남성,서연,서연(5.07%),17
8,광주광역시,2021,남성,서현,서현(5.07%),17
8,광주광역시,2021,남성,지영,지영(5.07%),17
11,광주광역시,2021,남성,지민,지민(4.48%),15
11,광주광역시,2021,남성,지우,지우(4.48%),15
11,광주광역시,2021,남성,채윤,채윤(4.48%),15
14,광주광역시,2021,남성,도연,도연(4.18%),14
14,광주광역시,2021,남성,민주,민주(4.18%),14
14,광주광역시,2021,남성,서진,서진(4.18%),14
14,광주광역시,2021,남성,지유,지유(4.18%),14
18,광주광역시,2021,남성,수정,수정(3.88%),13
18,광주광역시,2021,남성,유진,유진(3.88%),13
18,광주광역시,2021,남성,주원,주원(3.88%),13
19,광주광역시,2021,남성,기타,기타(89.59%),"2,884"
1,대전광역시,2021,남성,지안,지안(7.57%),28
2,대전광역시,2021,남성,수연,수연(7.03%),26
3,대전광역시,2021,남성,지원,지원(6.49%),24
4,대전광역시,2021,남성,유진,유진(6.22%),23
5,대전광역시,2021,남성,지우,지우(5.95%),22
6,대전광역시,2021,남성,수현,수현(5.68%),21
7,대전광역시,2021,남성,서영,서영(5.14%),19
8,대전광역시,2021,남성,서아,서아(4.86%),18
8,대전광역시,2021,남성,서현,서현(4.86%),18
8,대전광역시,2021,남성,수진,수진(4.86%),18
11,대전광역시,2021,남성,지윤,지윤(4.59%),17
11,대전광역시,2021,남성,채원,채원(4.59%),17
13,대전광역시,2021,남성,서연,서연(4.32%),16
14,대전광역시,2021,남성,도현,도현(4.05%),15
14,대전광역시,2021,남성,서우,서우(4.05%),15
14,대전광역시,2021,남성,서윤,서윤(4.05%),15
14,대전광역시,2021,남성,지영,지영(4.05%),15
14,대전광역시,2021,남성,지은,지은(4.05%),15
19,대전광역시,2021,남성,서하,서하(3.78%),14
19,대전광역시,2021,남성,우진,우진(3.78%),14
20,대전광역시,2021,남성,기타,기타(88.48%),"2,842"
1,울산광역시,2021,남성,지안,지안(9.41%),27
2,울산광역시,2021,남성,서연,서연(7.32%),21
3,울산광역시,2021,남성,유진,유진(6.97%),20
4,울산광역시,2021,남성,채원,채원(5.57%),16
5,울산광역시,2021,남성,서윤,서윤(4.88%),14
5,울산광역시,2021,남성,수연,수연(4.88%),14
5,울산광역시,2021,남성,수현,수현(4.88%),14
5,울산광역시,2021,남성,지민,지민(4.88%),14
5,울산광역시,2021,남성,지윤,지윤(4.88%),14
10,울산광역시,2021,남성,지아,지아(4.53%),13
10,울산광역시,2021,남성,지원,지원(4.53%),13
12,울산광역시,2021,남성,나겸,나겸(4.18%),12
12,울산광역시,2021,남성,도경,도경(4.18%),12
12,울산광역시,2021,남성,도현,도현(4.18%),12
12,울산광역시,2021,남성,서현,서현(4.18%),12
12,울산광역시,2021,남성,수빈,수빈(4.18%),12
12,울산광역시,2021,남성,연우,연우(4.18%),12
12,울산광역시,2021,남성,지우,지우(4.18%),12
12,울산광역시,2021,남성,지유,지유(4.18%),12
20,울산광역시,2021,남성,우진,우진(3.83%),11
21,울산광역시,2021,남성,기타,기타(88.68%),"2,248"
1,세종특별자치시,2021,남성,지안,지안(11.46%),11
2,세종특별자치시,2021,남성,서연,서연(8.33%),8
3,세종특별자치시,2021,남성,수민,수민(6.25%),6
4,세종특별자치시,2021,남성,수아,수아(5.21%),5
4,세종특별자치시,2021,남성,수진,수진(5.21%),5
4,세종특별자치시,2021,남성,시현,시현(5.21%),5
7,세종특별자치시,2021,남성,나윤,나윤(4.17%),4
7,세종특별자치시,2021,남성,서아,서아(4.17%),4
7,세종특별자치시,2021,남성,서원,서원(4.17%),4
7,세종특별자치시,2021,남성,서하,서하(4.17%),4
7,세종특별자치시,2021,남성,서현,서현(4.17%),4
7,세종특별자치시,2021,남성,세연,세연(4.17%),4
7,세종특별자치시,2021,남성,수빈,수빈(4.17%),4
7,세종특별자치시,2021,남성,수연,수연(4.17%),4
7,세종특별자치시,2021,남성,연우,연우(4.17%),4
7,세종특별자치시,2021,남성,정우,정우(4.17%),4
7,세종특별자치시,2021,남성,지아,지아(4.17%),4
7,세종특별자치시,2021,남성,지원,지원(4.17%),4
7,세종특별자치시,2021,남성,지현,지현(4.17%),4
7,세종특별자치시,2021,남성,하진,하진(4.17%),4
8,세종특별자치시,2021,남성,기타,기타(86.70%),626
1,경기도,2021,남성,지안,지안(8.64%),228
2,경기도,2021,남성,서연,서연(7.88%),208
3,경기도,2021,남성,지원,지원(6.44%),170
4,경기도,2021,남성,유진,유진(6.10%),161
5,경기도,2021,남성,수연,수연(6.03%),159
6,경기도,2021,남성,서현,서현(5.76%),152
7,경기도,2021,남성,서윤,서윤(4.81%),127
