,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2017,남성,지우,지우(6.59%),606
1,2,서울특별시,2017,남성,지안,지안(6.14%),564
2,3,서울특별시,2017,남성,하준,하준(5.72%),526
3,4,서울특별시,2017,남성,주원,주원(5.58%),513
4,5,서울특별시,2017,남성,시우,시우(5.44%),500
5,5,서울특별시,2017,남성,하윤,하윤(5.44%),500
6,7,서울특별시,2017,남성,서준,서준(5.27%),484
7,8,서울특별시,2017,남성,지호,지호(5.20%),478
8,9,서울특별시,2017,남성,도윤,도윤(5.15%),473
9,10,서울특별시,2017,남성,서진,서진(5.12%),471
10,11,서울특별시,2017,남성,서윤,서윤(5.09%),468
11,12,서울특별시,2017,남성,지유,지유(4.63%),426
12,13,서울특별시,2017,남성,서연,서연(4.62%),425
13,14,서울특별시,2017,남성,민준,민준(4.55%),418
14,15,서울특별시,2017,남성,이안,이안(4.37%),402
15,16,서울특별시,2017,남성,서우,서우(4.28%),393
16,17,서울특별시,2017,남성,선우,선우(4.25%),391
17,18,서울특별시,2017,남성,수아,수아(4.21%),387
18,19,서울특별시,2017,남성,예준,예준(4.20%),386
19,20,서울특별시,2017,남성,하은,하은(4.13%),380
20,21,서울특별시,2017,남성,기타,기타(87.94%),"66,996"
21,1,부산광역시,2017,남성,지우,지우(6.61%),201
22,2,부산광역시,2017,남성,시우,시우(6.34%),193
23,3,부산광역시,2017,남성,도윤,도윤(6.21%),189
24,4,부산광역시,2017,남성,지안,지안(6.08%),185
25,5,부산광역시,2017,남성,시윤,시윤(5.42%),165
26,6,부산광역시,2017,남성,주원,주원(5.29%),161
27,7,부산광역시,2017,남성,하윤,하윤(5.26%),160
28,8,부산광역시,2017,남성,예준,예준(5.13%),156
29,9,부산광역시,2017,남성,서윤,서윤(5.03%),153
30,9,부산광역시,2017,남성,연우,연우(5.03%),153
31,11,부산광역시,2017,남성,민준,민준(4.83%),147
32,12,부산광역시,2017,남성,하린,하린(4.80%),146
33,13,부산광역시,2017,남성,하준,하준(4.67%),142
34,14,부산광역시,2017,남성,서준,서준(4.57%),139
35,15,부산광역시,2017,남성,지유,지유(4.27%),130
36,16,부산광역시,2017,남성,유준,유준(4.24%),129
37,16,부산광역시,2017,남성,준우,준우(4.24%),129
38,18,부산광역시,2017,남성,서진,서진(4.11%),125
39,19,부산광역시,2017,남성,서연,서연(4.07%),124
40,20,부산광역시,2017,남성,소윤,소윤(3.81%),116
