순위,지역,년도,성별,이름,비율,건수
1,서울특별시,2019,남성,민준,민준(7.44%),71
2,서울특별시,2019,남성,현우,현우(6.60%),63
3,서울특별시,2019,남성,도윤,도윤(6.29%),60
4,서울특별시,2019,남성,우진,우진(5.97%),57
4,서울특별시,2019,남성,지훈,지훈(5.97%),57
6,서울특별시,2019,남성,도현,도현(5.77%),55
7,서울특별시,2019,남성,민재,민재(5.66%),54
7,서울특별시,2019,남성,서준,서준(5.66%),54
9,서울특별시,2019,남성,재원,재원(5.35%),51
10,서울특별시,2019,남성,정우,정우(5.24%),50
11,서울특별시,2019,남성,준우,준우(4.51%),43
12,서울특별시,2019,남성,시우,시우(4.40%),42
13,서울특별시,2019,남성,진우,진우(4.30%),41
14,서울특별시,2019,남성,준호,준호(4.19%),40
15,서울특별시,2019,남성,주원,주원(3.98%),38
16,서울특별시,2019,남성,건우,건우(3.88%),37
17,서울특별시,2019,남성,선우,선우(3.77%),36
17,서울특별시,2019,남성,재윤,재윤(3.77%),36
19,서울특별시,2019,남성,지호,지호(3.67%),35
20,서울특별시,2019,남성,재현,재현(3.56%),34
21,서울특별시,2019,남성,기타,기타(87.45%),"6,650"
1,부산광역시,2019,남성,서준,서준(6.71%),28
1,부산광역시,2019,남성,현우,현우(6.71%),28
3,부산광역시,2019,남성,도윤,도윤(5.76%),24
3,부산광역시,2019,남성,시우,시우(5.76%),24
5,부산광역시,2019,남성,건우,건우(5.52%),23
5,부산광역시,2019,남성,민준,민준(5.52%),23
5,부산광역시,2019,남성,우진,우진(5.52%),23
5,부산광역시,2019,남성,정우,정우(5.52%),23
5,부산광역시,2019,남성,준우,준우(5.52%),23
5,부산광역시,2019,남성,지훈,지훈(5.52%),23
11,부산광역시,2019,남성,도현,도현(5.28%),22
12,부산광역시,2019,남성,승민,승민(4.80%),20
13,부산광역시,2019,남성,민재,민재(4.56%),19
14,부산광역시,2019,남성,승원,승원(4.32%),18
15,부산광역시,2019,남성,재현,재현(4.08%),17
15,부산광역시,2019,남성,주원,주원(4.08%),17
17,부산광역시,2019,남성,재윤,재윤(3.84%),16
17,부산광역시,2019,남성,진우,진우(3.84%),16
19,부산광역시,2019,남성,민규,민규(3.60%),15
19,부산광역시,2019,남성,정민,정민(3.60%),15
20,부산광역시,2019,남성,기타,기타(87.44%),"2,902"
1,대구광역시,2019,남성,주원,주원(8.92%),24
2,대구광역시,2019,남성,건우,건우(8.18%),22
2,대구광역시,2019,남성,도현,도현(8.18%),22
4,대구광역시,2019,남성,민준,민준(6.69%),18
4,대구광역시,2019,남성,현우,현우(6.69%),18
6,대구광역시,2019,남성,재원,재원(4.83%),13
6,대구광역시,2019,남성,하준,하준(4.83%),13
8,대구광역시,2019,남성,성현,성현(4.46%),12
8,대구광역시,2019,남성,우진,우진(4.46%),12
10,대구광역시,2019,남성,동현,동현(4.09%),11
10,대구광역시,2019,남성,민건,민건(4.09%),11
10,대구광역시,2019,남성,민재,민재(4.09%),11
10,대구광역시,2019,남성,수현,수현(4.09%),11
10,대구광역시,2019,남성,주한,주한(4.09%),11
15,대구광역시,2019,남성,도윤,도윤(3.72%),10
15,대구광역시,2019,남성,승우,승우(3.72%),10
15,대구광역시,2019,남성,예준,예준(3.72%),10
15,대구광역시,2019,남성,준영,준영(3.72%),10
15,대구광역시,2019,남성,지환,지환(3.72%),10
15,대구광역시,2019,남성,지훈,지훈(3.72%),10
16,대구광역시,2019,남성,기타,기타(85.28%),"1,559"
1,인천광역시,2019,남성,민준,민준(13.26%),37
2,인천광역시,2019,남성,승우,승우(6.45%),18
2,인천광역시,2019,남성,우진,우진(6.45%),18
2,인천광역시,2019,남성,정우,정우(6.45%),18
5,인천광역시,2019,남성,도윤,도윤(6.09%),17
5,인천광역시,2019,남성,서준,서준(6.09%),17
7,인천광역시,2019,남성,주원,주원(5.38%),15
8,인천광역시,2019,남성,민재,민재(4.66%),13
9,인천광역시,2019,남성,대현,대현(4.30%),12
10,인천광역시,2019,남성,건우,건우(3.94%),11
10,인천광역시,2019,남성,도훈,도훈(3.94%),11
10,인천광역시,2019,남성,민규,민규(3.94%),11
10,인천광역시,2019,남성,시우,시우(3.94%),11
10,인천광역시,2019,남성,지호,지호(3.94%),11
10,인천광역시,2019,남성,진우,진우(3.94%),11
16,인천광역시,2019,남성,수현,수현(3.58%),10
