,순위,지역,년도,성별,이름,비율,건수
0,1,서울특별시,2018,남성,서준,서준(8.02%),543
1,2,서울특별시,2018,남성,지호,지호(6.92%),469
2,3,서울특별시,2018,남성,하준,하준(6.70%),454
3,4,서울특별시,2018,남성,시우,시우(6.23%),422
4,5,서울특별시,2018,남성,도윤,도윤(5.83%),395
5,6,서울특별시,2018,남성,서진,서진(5.52%),374
6,7,서울특별시,2018,남성,민준,민준(5.24%),355
7,8,서울특별시,2018,남성,주원,주원(4.95%),335
8,9,서울특별시,2018,남성,우진,우진(4.87%),330
9,10,서울특별시,2018,남성,예준,예준(4.69%),318
10,11,서울특별시,2018,남성,준우,준우(4.47%),303
11,12,서울특별시,2018,남성,은우,은우(4.34%),294
12,13,서울특별시,2018,남성,유준,유준(4.33%),293
13,14,서울특별시,2018,남성,선우,선우(4.28%),290
14,15,서울특별시,2018,남성,이안,이안(4.27%),289
15,16,서울특별시,2018,남성,수호,수호(4.21%),285
16,17,서울특별시,2018,남성,지후,지후(4.02%),272
17,18,서울특별시,2018,남성,이준,이준(3.85%),261
18,19,서울특별시,2018,남성,윤우,윤우(3.84%),260
19,20,서울특별시,2018,남성,연우,연우(3.42%),232
20,21,서울특별시,2018,남성,기타,기타(82.05%),"30,967"
21,1,부산광역시,2018,남성,서준,서준(8.13%),183
22,2,부산광역시,2018,남성,하준,하준(7.02%),158
23,3,부산광역시,2018,남성,예준,예준(6.53%),147
24,4,부산광역시,2018,남성,도윤,도윤(6.00%),135
25,5,부산광역시,2018,남성,민준,민준(5.78%),130
26,6,부산광역시,2018,남성,유준,유준(5.64%),127
27,7,부산광역시,2018,남성,주원,주원(5.29%),119
28,8,부산광역시,2018,남성,시우,시우(5.15%),116
29,9,부산광역시,2018,남성,지호,지호(4.98%),112
30,10,부산광역시,2018,남성,시윤,시윤(4.89%),110
31,11,부산광역시,2018,남성,서진,서진(4.53%),102
32,12,부산광역시,2018,남성,은우,은우(4.35%),98
33,13,부산광역시,2018,남성,지후,지후(4.31%),97
34,14,부산광역시,2018,남성,선우,선우(4.18%),94
35,15,부산광역시,2018,남성,지안,지안(4.13%),93
36,16,부산광역시,2018,남성,연우,연우(4.04%),91
37,17,부산광역시,2018,남성,윤우,윤우(4.00%),90
38,18,부산광역시,2018,남성,건우,건우(3.78%),85
39,18,부산광역시,2018,남성,준우,준우(3.78%),85
40,20,부산광역시,2018,남성,우진,우진(3.51%),79
41,21,부산광역시,2018,남성,기타,기타(77.94%),"7,952"
42,1,대구광역시,2018,남성,도윤,도윤(7.87%),128
43,2,대구광역시,2018,남성,시우,시우(7.38%),120
44,3,대구광역시,2018,남성,서준,서준(7.31%),119
45,4,대구광역시,2018,남성,민준,민준(7.19%),117
46,5,대구광역시,2018,남성,하준,하준(6.21%),101
47,6,대구광역시,2018,남성,예준,예준(6.08%),99
48,7,대구광역시,2018,남성,주원,주원(6.02%),98
49,8,대구광역시,2018,남성,지호,지호(5.59%),91
50,9,대구광역시,2018,남성,선우,선우(4.73%),77
51,10,대구광역시,2018,남성,시윤,시윤(4.49%),73
52,11,대구광역시,2018,남성,은우,은우(4.18%),68
53,12,대구광역시,2018,남성,우진,우진(3.93%),64
54,13,대구광역시,2018,남성,건우,건우(3.87%),63
